Name,Calories
"Hummus, commercial",233.67
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",50.0
"Tomatoes, grape, raw",28.33
"Beans, snap, green, canned, regular pack, drained solids",21.67
"Broccoli, raw",32.0
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",43.0
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",34.0
"Milk, whole, 3.25% milkfat, with added vitamin D",60.0
"Frankfurter, beef, unheated",312.67
"Nuts, almonds, dry roasted, with salt added",636.0
"Cheese, ricotta, whole milk",157.0
"Kale, raw",37.67
"Egg, whole, raw, frozen, pasteurized",148.67
"Egg, white, raw, frozen, pasteurized",47.0
"Egg, white, dried",367.33
"Sauce, salsa, ready-to-serve",29.0
"Sausage, breakfast sausage, beef, pre-cooked, unprepared",327.33
"Onion rings, breaded, par fried, frozen, prepared, heated in oven",290.0
"Pickles, cucumber, dill or kosher dill",12.67
"Peanut butter, smooth style, with salt",611.0
"Cheese, parmesan, grated",420.33
"Cheese, pasteurized process, American, vitamin D fortified",366.67
"Grapefruit juice, white, canned or bottled, unsweetened",37.67
"Peaches, yellow, raw",43.33
"Seeds, sunflower seed kernels, dry roasted, with salt added",627.0
"Sausage, Italian, pork, mild, cooked, pan-fried",322.0
"Bread, white, commercially prepared",269.0
"Sausage, turkey, breakfast links, mild, raw",169.0
"Cheese, swiss",393.0
"Kale, frozen, cooked, boiled, drained, without salt",38.67
"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",37.0
"Mustard, prepared, yellow",63.67
"Figs, dried, uncooked",249.0
"Kiwifruit, green, raw",60.0
"Melons, cantaloupe, raw",34.0
"Nectarines, raw",40.33
"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)",47.0
"Strawberries, raw",31.0
"Lettuce, cos or romaine, raw",17.0
"Cheese, cheddar",408.33
"Cheese, cottage, lowfat, 2% milkfat",83.33
"Cheese, mozzarella, low moisture, part-skim",297.33
"Egg, whole, dried",569.67
"Egg, yolk, raw, frozen, pasteurized",294.67
"Egg, yolk, dried",649.67
"Cheese, dry white, queso seco",326.0
"Yogurt, Greek, plain, nonfat",60.33
"Yogurt, Greek, strawberry, nonfat",82.67
"Oil, coconut",853.67
"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",220.0
"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",153.67
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",163.33
"Sauce, pasta, spaghetti/marinara, ready-to-serve",47.0
"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",104.33
"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",57.0
"Olives, green, Manzanilla, stuffed with pimiento",133.67
"Sausage, pork, chorizo, link or ground, cooked, pan-fried",346.0
"Cookies, oatmeal, soft, with raisins",430.0
"Tomatoes, canned, red, ripe, diced",19.0
"Fish, haddock, raw",72.33
"Fish, pollock, raw",55.0
"Fish, tuna, light, canned in water, drained solids",88.33
"Sugars, granulated",385.0
"Restaurant, Chinese, sweet and sour pork",260.0
"Restaurant, Chinese, fried rice, without meat",174.0
"Restaurant, Latino, tamale, pork",174.0
"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",229.0
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",155.0
"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",176.0
"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",122.0
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",123.0
"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",219.0
"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",145.0
"Bread, whole-wheat, commercially prepared",254.0
"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",173.33
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",153.0
